Reference, Value, Footprint, Datasheet
U1,TPS63060,snapVCC_lib:QFN-10_PAD-8,
L1,INDUCTOR,snapVCC_lib:L0805,
R1,1M,snapVCC_lib:0603-RES,
R5,10K,snapVCC_lib:0603-RES,
R4,68K,snapVCC_lib:0603-RES,
R3,111K,snapVCC_lib:0603-RES,
R2,1M,snapVCC_lib:0603-RES,
C1,10uF,snapVCC_lib:0603-CAP,
C2,10uF,snapVCC_lib:0603-CAP,
C3,1uF,snapVCC_lib:0402-CAP,
C4,0.1uF,snapVCC_lib:0402-CAP,
C6,1uF,snapVCC_lib:0402-CAP,
C7,22uF,snapVCC_lib:0603-CAP,
C8,22uF,snapVCC_lib:0603-CAP,
C9,22uF,snapVCC_lib:0603-CAP,
BT1,KEY967,snapVCC_lib:KEY967,
P1,CONN_01X03,snapVCC_lib:3P-1.27,
C5,10pF,snapVCC_lib:0402-CAP,
P2,CONN_01X02,snapVCC_lib:H2-2.54,
D1,LED,LEDs:LED-0603,
Q1,Q_PMOS_GSD,snapVCC_lib:SOT23,
